model,case_id,variant_id,evidence_state,surface_form,comparison,independent_disposition,comparison_disposition,independent_correct,comparison_correct,change_kind
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-2,complaint_callback-incomplete-2--record_first,incomplete,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-2,complaint_callback-incomplete-2--record_first,incomplete,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-2,complaint_callback-incomplete-2--record_first,incomplete,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-3,complaint_callback-incomplete-3--policy_first,incomplete,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-3,complaint_callback-incomplete-3--policy_first,incomplete,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-3,complaint_callback-incomplete-3--record_first,incomplete,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-3,complaint_callback-incomplete-3--record_first,incomplete,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-incomplete-3,complaint_callback-incomplete-3--record_first,incomplete,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-1,complaint_callback-invalid-1--policy_first,invalid,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-1,complaint_callback-invalid-1--policy_first,invalid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-1,complaint_callback-invalid-1--record_first,invalid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-1,complaint_callback-invalid-1--record_first,invalid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-1,complaint_callback-invalid-1--record_first,invalid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-2,complaint_callback-invalid-2--policy_first,invalid,policy_first,evidence_checklist,NEED_INFORMATION,INELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-2,complaint_callback-invalid-2--policy_first,invalid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-2,complaint_callback-invalid-2--record_first,invalid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-2,complaint_callback-invalid-2--record_first,invalid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-2,complaint_callback-invalid-2--record_first,invalid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-3,complaint_callback-invalid-3--policy_first,invalid,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-3,complaint_callback-invalid-3--policy_first,invalid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-3,complaint_callback-invalid-3--record_first,invalid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-3,complaint_callback-invalid-3--record_first,invalid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-invalid-3,complaint_callback-invalid-3--record_first,invalid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-valid-1,complaint_callback-valid-1--policy_first,valid,policy_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-valid-1,complaint_callback-valid-1--policy_first,valid,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-valid-1,complaint_callback-valid-1--policy_first,valid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-valid-2,complaint_callback-valid-2--policy_first,valid,policy_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-valid-2,complaint_callback-valid-2--policy_first,valid,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-valid-2,complaint_callback-valid-2--policy_first,valid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-valid-3,complaint_callback-valid-3--policy_first,valid,policy_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-valid-3,complaint_callback-valid-3--policy_first,valid,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,complaint_callback-valid-3,complaint_callback-valid-3--policy_first,valid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-conflict-1,document_support-conflict-1--record_first,conflict,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-conflict-1,document_support-conflict-1--record_first,conflict,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-conflict-1,document_support-conflict-1--record_first,conflict,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-conflict-2,document_support-conflict-2--record_first,conflict,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-conflict-2,document_support-conflict-2--record_first,conflict,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-conflict-2,document_support-conflict-2--record_first,conflict,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-conflict-3,document_support-conflict-3--record_first,conflict,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-conflict-3,document_support-conflict-3--record_first,conflict,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-conflict-3,document_support-conflict-3--record_first,conflict,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-1,document_support-incomplete-1--policy_first,incomplete,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-1,document_support-incomplete-1--record_first,incomplete,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-1,document_support-incomplete-1--record_first,incomplete,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-1,document_support-incomplete-1--record_first,incomplete,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-2,document_support-incomplete-2--policy_first,incomplete,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-2,document_support-incomplete-2--record_first,incomplete,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-2,document_support-incomplete-2--record_first,incomplete,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-2,document_support-incomplete-2--record_first,incomplete,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-3,document_support-incomplete-3--policy_first,incomplete,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-3,document_support-incomplete-3--record_first,incomplete,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-3,document_support-incomplete-3--record_first,incomplete,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-incomplete-3,document_support-incomplete-3--record_first,incomplete,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,True,False,harmful
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-1,document_support-invalid-1--policy_first,invalid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-1,document_support-invalid-1--record_first,invalid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-1,document_support-invalid-1--record_first,invalid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-1,document_support-invalid-1--record_first,invalid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-2,document_support-invalid-2--policy_first,invalid,policy_first,evidence_checklist,NEED_INFORMATION,INELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-2,document_support-invalid-2--policy_first,invalid,policy_first,commit_then_review,NEED_INFORMATION,INELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-2,document_support-invalid-2--record_first,invalid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-2,document_support-invalid-2--record_first,invalid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-2,document_support-invalid-2--record_first,invalid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-3,document_support-invalid-3--policy_first,invalid,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-3,document_support-invalid-3--record_first,invalid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-3,document_support-invalid-3--record_first,invalid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-invalid-3,document_support-invalid-3--record_first,invalid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-valid-1,document_support-valid-1--record_first,valid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-valid-1,document_support-valid-1--record_first,valid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-valid-1,document_support-valid-1--record_first,valid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-valid-2,document_support-valid-2--record_first,valid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-valid-2,document_support-valid-2--record_first,valid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-valid-2,document_support-valid-2--record_first,valid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-valid-3,document_support-valid-3--record_first,valid,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-valid-3,document_support-valid-3--record_first,valid,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,document_support-valid-3,document_support-valid-3--record_first,valid,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,True,corrective
mlx-community/Mistral-7B-Instruct-v0.3-4bit,family_contact-conflict-1,family_contact-conflict-1--policy_first,conflict,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,family_contact-conflict-1,family_contact-conflict-1--policy_first,conflict,policy_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,family_contact-conflict-1,family_contact-conflict-1--record_first,conflict,record_first,prior_rationale,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,family_contact-conflict-1,family_contact-conflict-1--record_first,conflict,record_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,family_contact-conflict-1,family_contact-conflict-1--record_first,conflict,record_first,commit_then_review,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
mlx-community/Mistral-7B-Instruct-v0.3-4bit,family_contact-conflict-2,family_contact-conflict-2--policy_first,conflict,policy_first,evidence_checklist,NEED_INFORMATION,ELIGIBLE,False,False,different_same_correctness
