model,condition,target,predicted,count
mlx-community/Phi-4-mini-instruct-mlx-4Bit,commit_then_review,INELIGIBLE,HUMAN_REVIEW,5
mlx-community/Phi-4-mini-instruct-mlx-4Bit,commit_then_review,INELIGIBLE,INELIGIBLE,3
mlx-community/Phi-4-mini-instruct-mlx-4Bit,commit_then_review,INELIGIBLE,NEED_INFORMATION,40
mlx-community/Phi-4-mini-instruct-mlx-4Bit,commit_then_review,NEED_INFORMATION,NEED_INFORMATION,48
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,ELIGIBLE,ELIGIBLE,30
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,ELIGIBLE,HUMAN_REVIEW,6
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,ELIGIBLE,INELIGIBLE,8
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,ELIGIBLE,NEED_INFORMATION,4
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,HUMAN_REVIEW,ELIGIBLE,6
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,HUMAN_REVIEW,HUMAN_REVIEW,15
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,HUMAN_REVIEW,INELIGIBLE,26
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,HUMAN_REVIEW,NEED_INFORMATION,1
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,INELIGIBLE,INELIGIBLE,48
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,NEED_INFORMATION,HUMAN_REVIEW,2
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,NEED_INFORMATION,INELIGIBLE,22
mlx-community/Phi-4-mini-instruct-mlx-4Bit,evidence_checklist,NEED_INFORMATION,NEED_INFORMATION,24
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,ELIGIBLE,ELIGIBLE,30
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,ELIGIBLE,HUMAN_REVIEW,3
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,ELIGIBLE,NEED_INFORMATION,15
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,HUMAN_REVIEW,ELIGIBLE,3
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,HUMAN_REVIEW,HUMAN_REVIEW,22
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,HUMAN_REVIEW,NEED_INFORMATION,23
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,INELIGIBLE,HUMAN_REVIEW,3
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,INELIGIBLE,INELIGIBLE,16
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,INELIGIBLE,NEED_INFORMATION,28
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,INELIGIBLE,None,1
mlx-community/Phi-4-mini-instruct-mlx-4Bit,independent_review,NEED_INFORMATION,NEED_INFORMATION,48
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,ELIGIBLE,ELIGIBLE,30
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,ELIGIBLE,HUMAN_REVIEW,11
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,ELIGIBLE,NEED_INFORMATION,7
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,HUMAN_REVIEW,ELIGIBLE,16
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,HUMAN_REVIEW,HUMAN_REVIEW,26
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,HUMAN_REVIEW,INELIGIBLE,6
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,INELIGIBLE,INELIGIBLE,46
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,INELIGIBLE,NEED_INFORMATION,2
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,NEED_INFORMATION,HUMAN_REVIEW,3
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,NEED_INFORMATION,INELIGIBLE,3
mlx-community/Phi-4-mini-instruct-mlx-4Bit,prior_rationale,NEED_INFORMATION,NEED_INFORMATION,42
mlx-community/Qwen3-4B-Instruct-2507-4bit,commit_then_review,ELIGIBLE,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,commit_then_review,HUMAN_REVIEW,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,commit_then_review,INELIGIBLE,ELIGIBLE,44
mlx-community/Qwen3-4B-Instruct-2507-4bit,commit_then_review,INELIGIBLE,INELIGIBLE,4
mlx-community/Qwen3-4B-Instruct-2507-4bit,commit_then_review,NEED_INFORMATION,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,evidence_checklist,ELIGIBLE,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,evidence_checklist,HUMAN_REVIEW,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,evidence_checklist,INELIGIBLE,ELIGIBLE,44
mlx-community/Qwen3-4B-Instruct-2507-4bit,evidence_checklist,INELIGIBLE,None,4
mlx-community/Qwen3-4B-Instruct-2507-4bit,evidence_checklist,NEED_INFORMATION,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,independent_review,ELIGIBLE,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,independent_review,HUMAN_REVIEW,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,independent_review,INELIGIBLE,ELIGIBLE,47
mlx-community/Qwen3-4B-Instruct-2507-4bit,independent_review,INELIGIBLE,None,1
mlx-community/Qwen3-4B-Instruct-2507-4bit,independent_review,NEED_INFORMATION,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,prior_rationale,ELIGIBLE,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,prior_rationale,HUMAN_REVIEW,ELIGIBLE,48
mlx-community/Qwen3-4B-Instruct-2507-4bit,prior_rationale,INELIGIBLE,ELIGIBLE,46
mlx-community/Qwen3-4B-Instruct-2507-4bit,prior_rationale,INELIGIBLE,None,2
mlx-community/Qwen3-4B-Instruct-2507-4bit,prior_rationale,NEED_INFORMATION,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,commit_then_review,ELIGIBLE,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,commit_then_review,HUMAN_REVIEW,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,commit_then_review,INELIGIBLE,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,commit_then_review,NEED_INFORMATION,ELIGIBLE,45
mlx-community/gemma-3-text-4b-it-4bit,commit_then_review,NEED_INFORMATION,NEED_INFORMATION,3
mlx-community/gemma-3-text-4b-it-4bit,evidence_checklist,ELIGIBLE,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,evidence_checklist,HUMAN_REVIEW,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,evidence_checklist,INELIGIBLE,ELIGIBLE,43
mlx-community/gemma-3-text-4b-it-4bit,evidence_checklist,INELIGIBLE,INELIGIBLE,2
mlx-community/gemma-3-text-4b-it-4bit,evidence_checklist,INELIGIBLE,NEED_INFORMATION,3
mlx-community/gemma-3-text-4b-it-4bit,evidence_checklist,NEED_INFORMATION,ELIGIBLE,28
mlx-community/gemma-3-text-4b-it-4bit,evidence_checklist,NEED_INFORMATION,NEED_INFORMATION,20
mlx-community/gemma-3-text-4b-it-4bit,independent_review,ELIGIBLE,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,independent_review,HUMAN_REVIEW,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,independent_review,INELIGIBLE,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,independent_review,NEED_INFORMATION,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,prior_rationale,ELIGIBLE,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,prior_rationale,HUMAN_REVIEW,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,prior_rationale,INELIGIBLE,ELIGIBLE,48
mlx-community/gemma-3-text-4b-it-4bit,prior_rationale,NEED_INFORMATION,ELIGIBLE,45
mlx-community/gemma-3-text-4b-it-4bit,prior_rationale,NEED_INFORMATION,NEED_INFORMATION,3
