model,model_id,revision,case_id,variant_id,service_family,surface_form,evidence_state,target_disposition,condition,parser_mode,predicted_disposition,reply_characters,reply_words,unsupported_identifier_count,disposition_correct,clause_correct,evidence_correct,fully_grounded,schema_valid,strict_format,failure_to_correct,false_eligibility,appropriate_information_request,appropriate_human_review,changed_disposition,corrective_update,harmful_update,preliminary_correct
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-2,family_contact-valid-2--policy_first,family_contact,policy_first,valid,ELIGIBLE,evidence_checklist,strict,ELIGIBLE,159,24,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-2,family_contact-valid-2--policy_first,family_contact,policy_first,valid,ELIGIBLE,commit_then_review,strict,ELIGIBLE,166,25,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-2,family_contact-valid-2--record_first,family_contact,record_first,valid,ELIGIBLE,independent_review,strict,ELIGIBLE,167,25,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-2,family_contact-valid-2--record_first,family_contact,record_first,valid,ELIGIBLE,prior_rationale,strict,ELIGIBLE,205,32,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-2,family_contact-valid-2--record_first,family_contact,record_first,valid,ELIGIBLE,evidence_checklist,strict,ELIGIBLE,147,23,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-2,family_contact-valid-2--record_first,family_contact,record_first,valid,ELIGIBLE,commit_then_review,strict,ELIGIBLE,167,25,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-3,family_contact-valid-3--policy_first,family_contact,policy_first,valid,ELIGIBLE,independent_review,strict,ELIGIBLE,152,22,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-3,family_contact-valid-3--policy_first,family_contact,policy_first,valid,ELIGIBLE,prior_rationale,strict,ELIGIBLE,166,24,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-3,family_contact-valid-3--policy_first,family_contact,policy_first,valid,ELIGIBLE,evidence_checklist,strict,ELIGIBLE,159,24,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-3,family_contact-valid-3--policy_first,family_contact,policy_first,valid,ELIGIBLE,commit_then_review,strict,ELIGIBLE,152,22,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-3,family_contact-valid-3--record_first,family_contact,record_first,valid,ELIGIBLE,independent_review,strict,ELIGIBLE,167,25,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-3,family_contact-valid-3--record_first,family_contact,record_first,valid,ELIGIBLE,prior_rationale,strict,ELIGIBLE,173,25,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-3,family_contact-valid-3--record_first,family_contact,record_first,valid,ELIGIBLE,evidence_checklist,strict,ELIGIBLE,147,23,0,1,1,1,1,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-valid-3,family_contact-valid-3--record_first,family_contact,record_first,valid,ELIGIBLE,commit_then_review,strict,ELIGIBLE,167,25,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-1,family_contact-invalid-1--policy_first,family_contact,policy_first,invalid,INELIGIBLE,independent_review,strict,ELIGIBLE,298,50,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-1,family_contact-invalid-1--policy_first,family_contact,policy_first,invalid,INELIGIBLE,prior_rationale,strict,ELIGIBLE,327,56,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-1,family_contact-invalid-1--policy_first,family_contact,policy_first,invalid,INELIGIBLE,evidence_checklist,strict,ELIGIBLE,282,46,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-1,family_contact-invalid-1--policy_first,family_contact,policy_first,invalid,INELIGIBLE,commit_then_review,strict,ELIGIBLE,389,64,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-1,family_contact-invalid-1--record_first,family_contact,record_first,invalid,INELIGIBLE,independent_review,strict,ELIGIBLE,311,52,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-1,family_contact-invalid-1--record_first,family_contact,record_first,invalid,INELIGIBLE,prior_rationale,strict,ELIGIBLE,269,46,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-1,family_contact-invalid-1--record_first,family_contact,record_first,invalid,INELIGIBLE,evidence_checklist,strict,ELIGIBLE,438,68,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-1,family_contact-invalid-1--record_first,family_contact,record_first,invalid,INELIGIBLE,commit_then_review,strict,ELIGIBLE,311,53,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-2,family_contact-invalid-2--policy_first,family_contact,policy_first,invalid,INELIGIBLE,independent_review,strict,ELIGIBLE,421,66,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-2,family_contact-invalid-2--policy_first,family_contact,policy_first,invalid,INELIGIBLE,prior_rationale,strict,ELIGIBLE,633,100,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-2,family_contact-invalid-2--policy_first,family_contact,policy_first,invalid,INELIGIBLE,evidence_checklist,strict,ELIGIBLE,316,55,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-2,family_contact-invalid-2--policy_first,family_contact,policy_first,invalid,INELIGIBLE,commit_then_review,strict,ELIGIBLE,575,94,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-2,family_contact-invalid-2--record_first,family_contact,record_first,invalid,INELIGIBLE,independent_review,strict,ELIGIBLE,488,79,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-2,family_contact-invalid-2--record_first,family_contact,record_first,invalid,INELIGIBLE,prior_rationale,strict,ELIGIBLE,532,82,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-2,family_contact-invalid-2--record_first,family_contact,record_first,invalid,INELIGIBLE,evidence_checklist,strict,ELIGIBLE,383,62,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-2,family_contact-invalid-2--record_first,family_contact,record_first,invalid,INELIGIBLE,commit_then_review,strict,ELIGIBLE,508,82,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-3,family_contact-invalid-3--policy_first,family_contact,policy_first,invalid,INELIGIBLE,independent_review,strict,ELIGIBLE,382,63,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-3,family_contact-invalid-3--policy_first,family_contact,policy_first,invalid,INELIGIBLE,prior_rationale,strict,ELIGIBLE,309,47,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-3,family_contact-invalid-3--policy_first,family_contact,policy_first,invalid,INELIGIBLE,evidence_checklist,unparsed,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-3,family_contact-invalid-3--policy_first,family_contact,policy_first,invalid,INELIGIBLE,commit_then_review,strict,ELIGIBLE,413,66,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-3,family_contact-invalid-3--record_first,family_contact,record_first,invalid,INELIGIBLE,independent_review,strict,ELIGIBLE,147,22,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-3,family_contact-invalid-3--record_first,family_contact,record_first,invalid,INELIGIBLE,prior_rationale,strict,ELIGIBLE,313,52,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-3,family_contact-invalid-3--record_first,family_contact,record_first,invalid,INELIGIBLE,evidence_checklist,strict,ELIGIBLE,314,48,0,0,0,1,0,1,1,0,1,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-invalid-3,family_contact-invalid-3--record_first,family_contact,record_first,invalid,INELIGIBLE,commit_then_review,strict,ELIGIBLE,147,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-1,family_contact-incomplete-1--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,independent_review,strict,ELIGIBLE,280,43,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-1,family_contact-incomplete-1--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,prior_rationale,strict,ELIGIBLE,253,38,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-1,family_contact-incomplete-1--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,evidence_checklist,strict,ELIGIBLE,367,57,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-1,family_contact-incomplete-1--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,commit_then_review,strict,ELIGIBLE,280,43,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-1,family_contact-incomplete-1--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,independent_review,strict,ELIGIBLE,154,22,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-1,family_contact-incomplete-1--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,prior_rationale,strict,ELIGIBLE,206,30,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-1,family_contact-incomplete-1--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,evidence_checklist,strict,ELIGIBLE,142,21,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-1,family_contact-incomplete-1--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,commit_then_review,strict,ELIGIBLE,356,54,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-2,family_contact-incomplete-2--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,independent_review,strict,ELIGIBLE,280,43,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-2,family_contact-incomplete-2--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,prior_rationale,strict,ELIGIBLE,214,32,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-2,family_contact-incomplete-2--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,evidence_checklist,strict,ELIGIBLE,182,27,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-2,family_contact-incomplete-2--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,commit_then_review,strict,ELIGIBLE,237,36,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-2,family_contact-incomplete-2--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,independent_review,strict,ELIGIBLE,156,24,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-2,family_contact-incomplete-2--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,prior_rationale,strict,ELIGIBLE,200,27,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-2,family_contact-incomplete-2--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,evidence_checklist,strict,ELIGIBLE,141,21,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-2,family_contact-incomplete-2--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,commit_then_review,strict,ELIGIBLE,221,33,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-3,family_contact-incomplete-3--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,independent_review,strict,ELIGIBLE,237,36,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-3,family_contact-incomplete-3--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,prior_rationale,strict,ELIGIBLE,301,46,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-3,family_contact-incomplete-3--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,evidence_checklist,strict,ELIGIBLE,182,27,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-3,family_contact-incomplete-3--policy_first,family_contact,policy_first,incomplete,NEED_INFORMATION,commit_then_review,strict,ELIGIBLE,237,36,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-3,family_contact-incomplete-3--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,independent_review,strict,ELIGIBLE,156,24,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-3,family_contact-incomplete-3--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,prior_rationale,strict,ELIGIBLE,157,23,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-3,family_contact-incomplete-3--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,evidence_checklist,strict,ELIGIBLE,142,21,0,0,0,1,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-incomplete-3,family_contact-incomplete-3--record_first,family_contact,record_first,incomplete,NEED_INFORMATION,commit_then_review,strict,ELIGIBLE,216,32,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-conflict-1,family_contact-conflict-1--policy_first,family_contact,policy_first,conflict,HUMAN_REVIEW,independent_review,strict,ELIGIBLE,153,23,0,0,0,0,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-conflict-1,family_contact-conflict-1--policy_first,family_contact,policy_first,conflict,HUMAN_REVIEW,prior_rationale,strict,ELIGIBLE,134,19,0,0,0,0,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-conflict-1,family_contact-conflict-1--policy_first,family_contact,policy_first,conflict,HUMAN_REVIEW,evidence_checklist,strict,ELIGIBLE,135,19,0,0,0,0,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-conflict-1,family_contact-conflict-1--policy_first,family_contact,policy_first,conflict,HUMAN_REVIEW,commit_then_review,strict,ELIGIBLE,153,23,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-conflict-1,family_contact-conflict-1--record_first,family_contact,record_first,conflict,HUMAN_REVIEW,independent_review,strict,ELIGIBLE,152,23,0,0,0,0,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-conflict-1,family_contact-conflict-1--record_first,family_contact,record_first,conflict,HUMAN_REVIEW,prior_rationale,strict,ELIGIBLE,152,23,0,0,0,0,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-conflict-1,family_contact-conflict-1--record_first,family_contact,record_first,conflict,HUMAN_REVIEW,evidence_checklist,strict,ELIGIBLE,118,16,0,0,0,0,0,1,1,0,0,0,0,,,,
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-conflict-1,family_contact-conflict-1--record_first,family_contact,record_first,conflict,HUMAN_REVIEW,commit_then_review,strict,ELIGIBLE,152,23,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Qwen3-4B,mlx-community/Qwen3-4B-Instruct-2507-4bit,50d427756c6b1b2fe0c0a10f67fbda1fc8e82c1b,family_contact-conflict-2,family_contact-conflict-2--policy_first,family_contact,policy_first,conflict,HUMAN_REVIEW,independent_review,strict,ELIGIBLE,153,23,0,0,0,0,0,1,1,0,0,0,0,,,,
